regione,nome_centro,mese,donazioni
Abruzzo,OSPEDALE MAZZINI,2020-01,35
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-01,34
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-01,35
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-01,35
Abruzzo,OSPEDALE SAN SALVATORE,2020-01,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-01,35
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-01,35
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-01,35
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-01,34
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-01,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-01,34
Abruzzo,OSPEDALE MAZZINI,2020-02,34
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-02,34
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-02,34
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-02,33
Abruzzo,OSPEDALE SAN SALVATORE,2020-02,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-02,33
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-02,32
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-02,34
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-02,33
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-02,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-02,33
Abruzzo,OSPEDALE MAZZINI,2020-03,36
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-03,36
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-03,35
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-03,34
Abruzzo,OSPEDALE SAN SALVATORE,2020-03,35
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-03,34
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-03,34
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-03,35
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-03,35
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-03,36
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-03,35
Abruzzo,OSPEDALE MAZZINI,2020-04,35
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-04,35
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-04,35
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-04,34
Abruzzo,OSPEDALE SAN SALVATORE,2020-04,35
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-04,35
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-04,36
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-04,35
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-04,36
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-04,36
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-04,35
Abruzzo,OSPEDALE MAZZINI,2020-05,35
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-05,35
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-05,34
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-05,33
Abruzzo,OSPEDALE SAN SALVATORE,2020-05,34
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-05,33
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-05,33
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-05,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-05,34
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-05,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-05,34
Abruzzo,OSPEDALE MAZZINI,2020-06,34
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-06,33
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-06,33
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-06,33
Abruzzo,OSPEDALE SAN SALVATORE,2020-06,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-06,34
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-06,33
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-06,33
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-06,34
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-06,34
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-06,33
Abruzzo,OSPEDALE MAZZINI,2020-07,29
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-07,29
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-07,29
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-07,29
Abruzzo,OSPEDALE SAN SALVATORE,2020-07,29
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-07,29
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-07,30
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-07,29
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-07,29
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-07,29
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-07,29
Abruzzo,OSPEDALE MAZZINI,2020-08,28
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-08,28
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-08,28
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-08,28
Abruzzo,OSPEDALE SAN SALVATORE,2020-08,28
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-08,29
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-08,27
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-08,27
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-08,27
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-08,28
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-08,28
Abruzzo,OSPEDALE MAZZINI,2020-09,33
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-09,33
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-09,33
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-09,34
Abruzzo,OSPEDALE SAN SALVATORE,2020-09,33
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-09,33
Abruzzo,PO SULMONA ' DELL' ANNUNZIATA',2020-09,33
Abruzzo,"P.O. ""SPIRITO SANTO"" PESCARA",2020-09,34
Abruzzo,OSPEDALE SAN LIBERATORE DI ATRI (TE),2020-09,33
Abruzzo,OSPEDALE MARIA S.S. DELLO SPLENDORE,2020-09,33
Abruzzo,P.O. S. MASSIMO DI PENNE,2020-09,33
Abruzzo,OSPEDALE MAZZINI,2020-10,33
Abruzzo,P.O. VASTO S.PIO DA PIETRALCINA,2020-10,33
Abruzzo,PO AVEZZANO 'S. FILIPPO E NICOLA',2020-10,33
Abruzzo,Pres. Osp. Clinicizzato SS. ANNUNZIATA,2020-10,32
Abruzzo,OSPEDALE SAN SALVATORE,2020-10,34
Abruzzo,P.O.'S.S. TRINITA'' POPOLI,2020-10,33
